2018-11-17 02:16:04.694 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3*3
2018-11-17 02:16:04.695 INFO  com.hcq.socket.client.Client - 2601
2018-11-17 02:16:04.695 INFO  com.hcq.socket.client.Client - 表达式为 ：8*3
2018-11-17 02:16:04.696 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8*3
2018-11-17 02:16:04.696 INFO  com.hcq.socket.client.Client - 2856
2018-11-17 02:16:04.696 INFO  com.hcq.socket.client.Client - 表达式为 ：5*1
2018-11-17 02:16:04.697 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5*1
2018-11-17 02:16:04.697 INFO  com.hcq.socket.client.Client - 2597
2018-11-17 02:16:04.697 INFO  com.hcq.socket.client.Client - 表达式为 ：7+10
2018-11-17 02:16:04.698 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7+10
2018-11-17 02:16:04.698 INFO  com.hcq.socket.client.Client - 104
2018-11-17 02:16:04.699 INFO  com.hcq.socket.client.Client - 表达式为 ：6*1
2018-11-17 02:16:04.699 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6*1
2018-11-17 02:16:04.700 INFO  com.hcq.socket.client.Client - 2646
2018-11-17 02:16:04.700 INFO  com.hcq.socket.client.Client - 表达式为 ：6/2
2018-11-17 02:16:04.702 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6/2
2018-11-17 02:16:04.703 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.703 INFO  com.hcq.socket.client.Client - 表达式为 ：4-9
2018-11-17 02:16:04.704 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息4-9
2018-11-17 02:16:04.704 INFO  com.hcq.socket.client.Client - -5
2018-11-17 02:16:04.705 INFO  com.hcq.socket.client.Client - 表达式为 ：1/10
2018-11-17 02:16:04.706 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1/10
2018-11-17 02:16:04.706 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.706 INFO  com.hcq.socket.client.Client - 表达式为 ：2-6
